route,amount
BOM-CCU,228381.55
CCU-DEL,212693.44
DEL-HYD,186583.59
BOM-DEL,166513.7
HYD-MAA,150259.14
HYD-CCU,141565.64
BLR-BOM,140224.28
DEL-BLR,105397.99
HYD-BLR,105373.38
MAA-BLR,103907.61
HYD-DEL,86109.58
HYD-BOM,84886.05
CCU-HYD,82498.31
CCU-MAA,78894.71
BOM-HYD,78444.14
DEL-BOM,71830.39
MAA-CCU,55565.86
BLR-HYD,53854.17
MAA-DEL,52743.57
BLR-MAA,44374.23
BOM-MAA,37452.16
CCU-BLR,35444.08
BLR-DEL,34882.36
DEL-CCU,30979.91
CCU-BOM,29686.2
MAA-BOM,26474.89
DEL-MAA,18343.62
MAA-HYD,13868.18
BOM-BLR,8100.01
BLR-CCU,6069.3
